epoch,train_loss,test_accuracy,learning_rate
1,0.1535292932827902,90.89136490250696,9.757729755661011e-05
2,0.0599426024972528,89.22005571030641,9.05463412215599e-05
3,0.04050975446321213,92.74373259052925,7.959536998847742e-05
4,0.025794935751587714,93.59331476323119,6.57963412215599e-05
5,0.01551704361493305,93.85793871866295,5.05e-05
6,0.009362980643278283,93.77437325905292,3.5203658778440106e-05
7,0.00326378046538503,93.73259052924791,2.1404630011522586e-05
8,0.000617054879603723,94.15041782729806,1.0453658778440107e-05
9,0.0002679631925417526,94.66573816155989,3.4227024433899e-06
10,0.00016230753275277805,94.4707520891365,1e-06
